Year,Month,Day,Time,Miss,Slot,SlotM,Spin,SpinM,Winners,Payout
2021,Apr,1,00:00,true,5,4,1,1,1133,2689
2021,Apr,1,00:01,true,8,5,1,1,1130,2863
2021,Apr,1,00:02,true,2,2,5,5,1744,10708
2021,Apr,1,00:03,true,1,10,2,2,1626,9404
2021,Apr,1,00:04,true,1,2,3,15,2839,45277
2021,Apr,1,00:05,true,5,2,6,10,2228,35375
2021,Apr,1,00:06,true,5,5,1,1,1224,4320
2021,Apr,1,00:06,false,5,0,5,5,2028,20138
2021,Apr,1,00:07,true,1,7,6,10,2224,35563
2021,Apr,1,00:08,true,2,3,5,5,2108,20471
2021,Apr,1,00:09,true,6,4,2,2,1892,12463
2021,Apr,1,00:10,false,1,4,1,4,1279,10985
2021,Apr,1,00:10,true,2,4,1,1,1237,4264
2021,Apr,1,00:11,true,4,2,1,1,1146,3724
2021,Apr,1,00:12,true,8,2,5,5,1708,16356
2021,Apr,1,00:13,true,4,5,2,2,1484,13272
2021,Apr,1,00:14,true,7,0,2,2,1376,10059
2021,Apr,1,00:15,true,1,2,2,2,1278,9451
2021,Apr,1,00:15,true,6,2,2,2,1239,8750
2021,Apr,1,00:16,true,8,0,4,15,2941,71694
2021,Apr,1,00:18,true,7,3,5,5,1645,14592
2021,Apr,1,00:19,true,7,4,1,1,1073,4264
2021,Apr,1,00:19,true,3,4,1,1,1031,4171
2021,Apr,1,00:20,true,1,2,2,2,1255,9935
2021,Apr,1,00:21,true,1,3,3,7,2520,35072
2021,Apr,1,00:22,true,5,2,6,10,1851,34076
2021,Apr,1,00:23,true,2,4,1,1,970,3165
2021,Apr,1,00:24,true,7,3,5,5,1545,13180
2021,Apr,1,00:25,true,1,4,3,50,2344,219586
2021,Apr,1,00:26,false,3,0,3,3,2328,17039
2021,Apr,1,00:27,true,6,3,1,1,1030,3189
2021,Apr,1,00:28,true,3,4,1,1,1000,3360
2021,Apr,1,00:29,true,4,5,1,1,944,3195
2021,Apr,1,00:29,true,3,0,5,5,1530,11086
2021,Apr,1,00:30,true,4,2,2,2,1404,9330
2021,Apr,1,00:31,true,5,0,1,1,897,2669
2021,Apr,1,00:32,false,1,0,1,1,901,3065
2021,Apr,1,00:33,true,1,10,2,2,1223,8189
2021,Apr,1,00:34,true,3,2,5,5,1423,11088
2021,Apr,1,00:35,false,1,4,1,4,856,7504
2021,Apr,1,00:35,true,6,4,3,15,2418,73635
2021,Apr,1,00:37,true,7,3,5,5,1482,11634
2021,Apr,1,00:38,false,2,15,2,30,1339,90924
2021,Apr,1,00:38,true,3,2,1,1,1019,3440
2021,Apr,1,00:39,true,4,5,2,2,1314,8534
2021,Apr,1,00:40,true,3,2,2,2,1326,8259
2021,Apr,1,00:41,true,1,0,6,10,1868,29938
2021,Apr,1,00:42,true,5,3,2,2,1381,8391
2021,Apr,1,00:43,true,4,7,1,1,1009,2951
2021,Apr,1,00:43,true,6,4,5,5,1601,13717
2021,Apr,1,00:44,true,8,10,1,1,939,2345
2021,Apr,1,00:45,true,5,5,2,2,1316,20784
2021,Apr,1,00:46,true,7,2,1,1,855,2554
2021,Apr,1,00:47,true,8,2,1,1,783,3094
2021,Apr,1,00:47,true,4,4,1,1,714,2690
2021,Apr,1,00:48,false,1,2,1,2,699,3980
2021,Apr,1,00:49,true,5,4,2,2,1063,20842
2021,Apr,1,00:50,true,8,2,1,1,670,3847
2021,Apr,1,00:51,true,1,3,4,10,2325,56710
2021,Apr,1,00:52,true,1,3,2,2,1061,21139
2021,Apr,1,00:53,true,4,2,5,5,1274,30469
2021,Apr,1,00:54,true,4,4,2,2,1056,20607
2021,Apr,1,00:55,true,8,3,1,1,728,4334
2021,Apr,1,00:56,true,4,3,5,5,1027,25782
2021,Apr,1,00:57,true,8,3,5,5,1047,25273
2021,Apr,1,00:58,true,7,2,1,1,650,2608
2021,Apr,1,00:58,false,2,0,2,2,927,20255
2021,Apr,1,00:59,true,3,0,5,5,933,26257
2021,Apr,1,01:00,true,7,2,5,5,969,25520
2021,Apr,1,01:01,false,1,3,1,3,616,6857
2021,Apr,1,01:02,true,2,2,1,1,596,3619
2021,Apr,1,01:02,true,7,0,3,10,1656,39440
2021,Apr,1,01:04,true,7,3,3,50,1632,145100
