Year,Month,Day,Time,Miss,Slot,SlotM,Spin,SpinM,Winners,Payout
2021,Feb,24,18:49,False,1,10,1,10,1033,12353
2021,Feb,24,18:49,True,2,3,6,10,1965,18284
2021,Feb,24,18:50,True,4,5,2,2,1694,6346
2021,Feb,24,18:51,True,4,3,3,9,2794,22217
2021,Feb,24,18:52,True,1,2,4,7,3077,28391
2021,Feb,24,18:54,True,8,0,5,5,2140,9611
2021,Feb,24,18:55,False,2,0,2,2,1860,7488
2021,Feb,24,18:55,True,6,4,1,1,1374,5284
2021,Feb,24,18:56,True,8,3,1,1,1224,2738
2021,Feb,24,18:57,True,2,10,1,1,1117,2684
2021,Feb,24,18:58,True,3,5,2,2,1499,5602
2021,Feb,24,18:58,False,2,3,2,6,1419,11288
2021,Feb,24,18:59,True,7,2,1,1,1035,2544
2021,Feb,24,19:00,True,3,3,1,1,975,2596
2021,Feb,24,19:01,True,4,4,1,1,890,2192
2021,Feb,24,19:02,True,1,3,7,5,2501,45028
2021,Feb,24,19:03,True,8,4,1,1,876,2541
2021,Feb,24,19:04,True,6,0,4,15,2541,46165
2021,Feb,24,19:05,True,8,5,1,1,1024,2713
2021,Feb,24,19:06,True,8,5,2,2,1467,5869
2021,Feb,24,19:07,True,4,2,3,5,2604,12499
2021,Feb,24,19:08,True,2,0,1,1,996,2610
2021,Feb,24,19:09,True,6,0,3,3,2452,9616
2021,Feb,24,19:10,False,5,2,5,10,1531,14072
2021,Feb,24,19:11,True,1,3,2,2,1359,5333
2021,Feb,24,19:12,True,7,0,2,2,1347,5772
2021,Feb,24,19:13,True,4,0,2,2,1319,5052
2021,Feb,24,19:13,True,3,7,7,5,2624,43957
2021,Feb,24,19:15,True,4,2,1,1,970,2456
2021,Feb,24,19:16,True,4,2,2,2,1323,4783
2021,Feb,24,19:17,True,7,0,3,15,2506,34964
2021,Feb,24,19:18,True,2,2,5,5,1629,7588
2021,Feb,24,19:19,True,4,2,1,1,1023,3634
2021,Feb,24,19:19,False,2,3,2,6,1439,19982
2021,Feb,24,19:20,True,5,2,1,1,1050,2319
2021,Feb,24,19:21,True,2,10,5,5,1526,7742
2021,Feb,24,19:22,False,2,10,2,20,1510,43561
2021,Feb,24,19:23,True,4,3,2,2,1558,5071
2021,Feb,24,19:23,True,3,0,2,2,1507,5566
2021,Feb,24,19:24,False,1,4,1,4,1045,7432
2021,Feb,24,19:25,True,6,0,7,5,2761,46908
2021,Feb,24,19:27,True,7,0,6,10,1893,19348
2021,Feb,24,19:28,True,1,2,6,10,1986,20809
2021,Feb,24,19:28,True,7,0,5,5,2077,10066
2021,Feb,24,19:29,True,5,0,1,1,1306,2708
2021,Feb,24,19:30,True,5,2,2,2,1816,7500
2021,Feb,24,19:31,True,8,3,2,2,1775,7524
2021,Feb,24,19:32,True,5,7,1,1,1121,2661
2021,Feb,24,19:33,True,1,0,5,5,1836,11403
2021,Feb,24,19:33,False,8,3,8,30,2950,134619
2021,Feb,24,19:35,True,8,5,2,2,1586,5901
2021,Feb,24,19:36,True,8,2,5,5,1910,10322
2021,Feb,24,19:37,True,8,5,6,10,2228,25204
2021,Feb,24,19:38,True,8,0,4,50,3159,136854
2021,Feb,24,19:40,True,3,4,1,1,1286,4379
2021,Feb,24,19:40,True,5,15,1,1,1298,3878
2021,Feb,24,19:41,False,1,7,1,7,1310,15492
2021,Feb,24,19:42,True,8,3,1,1,1362,3786
2021,Feb,24,19:43,True,4,0,1,1,1270,3962
2021,Feb,24,19:44,True,4,3,1,1,1201,3361
2021,Feb,24,19:44,True,8,3,1,1,1120,3858
2021,Feb,24,19:45,True,7,3,2,2,1692,11796
2021,Feb,24,19:46,False,2,2,2,4,1667,11250
2021,Feb,24,19:47,True,7,0,5,5,2019,14786
2021,Feb,24,19:47,True,1,5,2,2,1635,8521
2021,Feb,24,19:48,True,8,0,1,1,1096,3747
2021,Feb,24,19:49,False,3,0,3,25,2789,81741
2021,Feb,24,19:50,True,2,5,3,10,2636,31497
2021,Feb,24,19:51,True,7,2,1,1,1231,4265
2021,Feb,24,19:52,True,7,2,5,5,1856,18002
2021,Feb,24,19:53,True,8,4,5,5,2003,18012
2021,Feb,24,19:54,True,8,5,6,10,2379,23010
2021,Feb,24,19:55,True,1,5,3,2,3031,8701
2021,Feb,24,19:56,True,3,3,2,2,1919,10976
2021,Feb,24,19:57,False,1,4,1,4,1262,13388
2021,Feb,24,19:57,True,7,0,4,100,3319,283073
2021,Feb,24,19:59,True,3,0,1,1,1256,6418
2021,Feb,24,20:00,True,8,7,2,2,1835,10473
2021,Feb,24,20:01,True,6,2,2,2,1829,8404
2021,Feb,24,20:02,True,7,2,6,10,2346,25685
2021,Feb,24,20:02,True,1,0,2,2,1853,11323
2021,Feb,24,20:03,True,3,3,5,5,2256,16054
2021,Feb,24,20:04,False,5,0,5,5,2162,11488
2021,Feb,24,20:05,True,5,2,2,2,1880,10450
2021,Feb,24,20:05,True,4,2,3,8,3317,25473
2021,Feb,24,20:07,True,7,3,2,2,1893,10867
2021,Feb,24,20:08,True,7,7,3,4,3150,13737
2021,Feb,24,20:09,False,6,2,6,20,2508,49143
2021,Feb,24,20:09,True,4,4,6,10,2529,25595
2021,Feb,24,20:10,False,1,2,1,2,1484,9302
2021,Feb,24,20:11,True,7,0,6,10,2042,20916
2021,Feb,24,20:12,True,8,2,2,2,2079,12437
2021,Feb,24,20:13,False,6,2,6,20,2399,53595
2021,Feb,24,20:14,True,1,2,2,2,1870,12423
2021,Feb,24,20:14,False,1,15,1,15,1346,57336
2021,Feb,24,20:15,True,8,50,1,1,1567,4750
2021,Feb,24,20:16,True,8,0,3,10,3521,39140
2021,Feb,24,20:17,True,2,4,5,5,2620,19111
2021,Feb,24,20:18,True,8,3,5,5,2662,18923
2021,Feb,24,20:19,True,5,5,2,2,2332,25329
2021,Feb,24,20:19,True,8,0,3,15,3496,59411
2021,Feb,24,20:21,True,8,0,1,1,1604,6326
2021,Feb,24,20:21,False,1,2,1,2,1592,7286
2021,Feb,24,20:22,False,1,4,1,4,1496,10588
2021,Feb,24,20:23,True,7,2,1,1,1483,5166
2021,Feb,24,20:24,True,7,0,2,2,1866,10842
2021,Feb,24,20:25,False,1,3,1,3,1210,9302
2021,Feb,24,20:25,True,1,3,2,2,1689,8749
2021,Feb,24,20:26,True,1,2,2,2,1602,7763
2021,Feb,24,20:27,True,3,2,2,2,1537,8058
2021,Feb,24,20:28,True,4,0,2,2,1479,8239
2021,Feb,24,20:29,False,1,7,1,7,1129,64211
2021,Feb,24,20:29,True,5,2,1,1,1213,5859
2021,Feb,24,20:30,True,2,3,7,5,3026,60583
2021,Feb,24,20:32,True,5,2,3,3,2788,12022
2021,Feb,24,20:33,True,1,3,3,10,2731,27980
2021,Feb,24,20:34,True,7,4,1,1,1343,6366
2021,Feb,24,20:35,True,7,2,1,1,1291,5144
2021,Feb,24,20:36,True,5,2,2,2,1590,13193
2021,Feb,24,20:37,True,3,3,6,10,2012,27469
2021,Feb,24,20:37,True,4,4,1,1,1135,4149
2021,Feb,24,20:38,True,5,0,2,2,1447,9145
2021,Feb,24,20:39,True,8,2,1,1,1027,6662
2021,Feb,24,20:40,True,4,2,1,1,990,5512
2021,Feb,24,20:41,True,8,0,6,10,1533,18299
2021,Feb,24,20:41,True,7,3,3,15,2360,42605
