Month,Day,Time,Miss,Slot,SlotM,Spin,SpinM,Winners,Payout
Mar,1,00:01,True,5,3,6,10,2325,30287
Mar,1,00:02,True,4,7,1,1,1278,4727
Mar,1,00:02,True,4,5,6,10,2341,34015
Mar,1,00:03,True,4,3,3,15,3224,62908
Mar,1,00:05,True,1,4,7,5,3536,84381
Mar,1,00:06,True,8,5,3,15,3199,62336
Mar,1,00:08,True,2,3,1,1,1474,7473
Mar,1,00:09,True,2,4,4,10,3715,50375
Mar,1,00:10,True,6,0,1,1,1414,3788
Mar,1,00:11,True,2,3,4,15,3639,68680
Mar,1,00:13,True,3,7,1,1,1397,3166
Mar,1,00:14,False,5,0,5,5,2475,24780
Mar,1,00:14,True,3,20,2,2,1981,14522
Mar,1,00:15,True,2,0,5,5,2303,25121
Mar,1,00:16,True,8,3,5,5,2311,21394
Mar,1,00:17,True,7,3,1,1,1240,4623
Mar,1,00:18,False,5,3,5,15,2065,63439
Mar,1,00:19,False,1,2,1,2,1195,6821
Mar,1,00:20,True,7,5,1,1,1149,4469
Mar,1,00:20,False,3,2,3,10,3197,46422
Mar,1,00:22,False,2,15,2,30,1642,121808
Mar,1,00:23,True,8,0,5,5,2216,24311
Mar,1,00:23,True,3,0,6,10,2586,48846
Mar,1,00:24,True,7,2,2,2,1811,13458
Mar,1,00:25,True,5,2,2,2,1724,13642
Mar,1,00:26,True,4,0,1,1,1213,7191
Mar,1,00:27,True,5,4,1,1,1126,3663
Mar,1,00:28,False,1,2,1,2,1066,5291
Mar,1,00:28,True,8,2,5,5,1879,28230
Mar,1,00:29,True,5,2,1,1,1000,1877
Mar,1,00:30,True,8,0,1,1,930,2161
Mar,1,00:31,True,2,4,5,5,1568,15558
Mar,1,00:32,True,5,0,1,1,903,1885
Mar,1,00:32,True,3,3,1,1,859,2086
Mar,1,00:33,True,6,0,5,5,1398,26893
Mar,1,00:34,True,4,0,1,1,820,2079
Mar,1,00:35,True,4,7,6,10,1500,30799
Mar,1,00:36,True,8,0,1,1,772,1830
Mar,1,00:37,True,3,2,7,5,2385,82179
Mar,1,00:38,True,5,2,1,1,788,2064
Mar,1,00:39,True,1,0,8,15,2525,50667
Mar,1,00:41,True,7,15,1,1,869,2202
Mar,1,00:42,True,5,2,2,2,1261,9721
Mar,1,00:43,True,3,5,1,1,858,2264
Mar,1,00:43,True,8,2,1,1,832,2049
Mar,1,00:44,True,8,5,6,10,1638,26534
Mar,1,00:45,True,5,7,1,1,820,2370
Mar,1,00:46,True,4,25,1,1,806,2087
Mar,1,00:47,False,5,3,5,15,1370,40372
Mar,1,00:47,True,5,4,2,2,1069,7619
